lotsize,bedrooms,bathrms,stories,driveway,gardenarea,fullbase,gashw,airco,garagepl,prefarea,price
6600,2,2,4,yes,6780,yes,no,no,0,yes,95500
4000,2,1,1,yes,6342,no,no,no,0,yes,51500
4880,3,1,1,yes,6547,no,no,no,2,yes,62900
4880,4,2,2,yes,9063,no,no,yes,1,yes,118500
8050,2,1,1,yes,1424,no,no,no,0,no,42900
8100,2,1,1,yes,1334,no,no,no,1,no,44100
5880,3,1,1,yes,3928,no,no,no,1,no,47000
5880,2,1,1,yes,8175,no,no,no,0,no,50000
12944,3,1,1,yes,7318,no,no,no,0,no,50000
6020,3,1,1,yes,5245,no,no,no,0,no,53000
4050,2,1,1,yes,8141,no,no,no,0,no,53000
8400,2,1,1,yes,8554,no,no,no,1,no,54000
5600,2,1,1,yes,6958,no,no,yes,0,no,58500
5985,3,1,1,yes,8812,yes,no,no,0,no,59000
4500,3,1,1,yes,1759,yes,no,no,0,no,60000
4920,3,1,2,yes,4803,no,no,no,1,no,62900
8250,3,1,1,yes,8103,no,no,no,0,no,64000
8400,4,1,4,yes,2002,no,no,no,3,no,65000
6440,2,1,1,yes,6991,no,no,yes,3,no,67900
8100,4,1,4,yes,1232,yes,no,yes,2,no,68500
6720,3,1,1,yes,5324,no,no,no,0,no,70000
5948,3,1,2,yes,7904,no,no,yes,0,no,70500
8150,3,2,1,yes,3724,yes,no,no,0,no,71500
4800,2,1,1,yes,7146,yes,no,no,0,no,71900
9800,4,2,2,yes,1056,no,no,no,2,no,75000
8520,3,1,1,yes,8595,no,no,yes,2,no,75000
8372,3,1,3,yes,9014,no,no,yes,2,no,87000
4040,3,1,2,yes,1515,no,no,no,1,no,64000
4646,3,1,2,yes,3476,yes,no,no,2,no,70000
4775,4,1,2,yes,1658,no,no,no,0,no,47500
4950,4,1,2,yes,4288,no,no,yes,0,no,62600
5010,3,1,2,yes,1548,yes,no,no,0,no,66000
6060,2,1,1,yes,6676,yes,no,no,1,no,58900
3584,2,1,1,yes,3045,no,yes,no,0,no,53000
6000,3,2,3,yes,8394,no,no,yes,0,no,95000
6000,4,2,4,yes,4702,no,no,yes,0,no,96500
6240,4,2,2,yes,9119,no,no,yes,1,no,101000
6000,3,2,2,yes,5556,no,no,no,1,no,102000
7680,4,2,4,yes,8919,no,no,yes,1,no,103000
6000,4,2,4,yes,3924,no,no,yes,1,no,105000
6000,4,2,4,yes,9362,no,no,yes,1,no,108000
6000,4,2,4,yes,3300,no,no,no,2,no,110000
6000,4,2,4,yes,9516,no,no,yes,1,no,113000
7475,3,2,4,yes,1630,no,no,yes,2,no,120000
5150,3,2,4,yes,5468,no,no,yes,2,no,105000
6325,3,1,4,yes,9602,no,no,yes,1,no,106000
6000,3,2,4,yes,3894,no,no,yes,1,no,107500
6000,3,2,3,yes,3269,no,no,yes,0,no,108000
6000,3,1,4,yes,7102,no,no,yes,2,no,113750
7000,3,1,4,yes,7050,no,no,yes,2,no,120000
12900,3,1,1,yes,1360,no,no,no,2,no,70000
7686,3,1,1,yes,2734,yes,yes,no,0,no,71000
5000,3,1,3,yes,4232,no,no,yes,0,no,82000
5800,3,2,4,yes,1397,no,no,yes,0,no,82000
6000,3,2,4,yes,2585,no,no,yes,0,no,82500
4800,3,1,3,yes,8773,no,no,yes,0,no,83000
6500,3,2,3,yes,6898,no,no,yes,0,no,84000
7320,4,2,2,yes,1975,no,no,no,0,no,85000
6525,3,2,4,yes,3148,no,no,no,1,no,85000
4800,3,2,4,yes,7992,no,no,yes,0,no,91500
6000,3,2,4,yes,3518,no,no,yes,0,no,94000
6000,3,2,4,yes,3171,no,no,yes,1,no,103000
6000,3,2,2,yes,2778,no,no,yes,1,no,105000
6000,3,1,2,yes,2019,no,no,yes,1,no,105000
